"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"CD001","Barbara Hakin","SCS3","National Managing Director for Commissioning Development","'Responsible for: Overseeing the design and development of the Government's proposed new commissioning architecture.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","NHSCEO01","520590","1.00","N/A","N/A","","Policy","",""
"CD002","Ben Dyson","SCS2","Director Policy Commissioning & Primary Care","'Responsible for coordinating policy on primary care and development of GP Commissioning.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD001","514955","1.00","90000","94999","","Policy","",""
"CD003","N/D","SCS1","Deputy Director Head of Primary Medical Care","'Responsible for All contractual arrangements with GPs covering: GP Access GP Patient Survey Quality in Primary Medical Care Funding for practices Patient Choice Registration with a GP.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","770423","1.00","N/D","N/D","","Policy","",""
"CD004","N/D","SCS1","Deputy Director - Head of Dental and Eye Care Services","'Responsible for: NHS Dental Services Dental Contract Reform Dental Access Eye Care Services.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","513034","1.00","N/D","N/D","","Policy","",""
"CD005","Barry Cockcroft","SCS2","Chief Dental Officer","'Responsible for: Clinical leadership and advice on all matters relating to dentistry and oral health.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","91912","1.00","110000","114999","","Policy","",""
"CD006","N/D","SCS1","Deputy Chief Dental Officer & Head of Dental Public Health","'Responsible for Dental Public Health / Oral Health.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","N/D","1.00","N/D","N/D","","Policy","",""
"CD007","N/D","SCS1","Director GP Commissioning","'Responsible for: Policy on GP Commissioning.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","1068164","1.00","N/D","N/D","","Policy","",""
"CD008","N/D","SCS1","Deputy Director - NHS Commissioning Board Implementation Team","'Responsible for: Establishing the NHS Commissioning Board as an NDPB by July 2012 and as a Special Health Authority in October 2011.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD014","1067632","0.80","N/D","N/D","","Policy","",""
"CD009","N/D","SCS1","Deputy Director Head of Commissioning Analysis and Intelligence","'Responsible for Provision of analytical input across the Directorate.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","1125538","1.00","N/D","N/D","","Policy","",""
"CD010","N/D","SCS1","Deputy Director - Commissioning Support","'Responsible for: Commissioning Support Strategy.'","Department of Health","Department of Health","Managing Director for Commissioning Development","020 7210 4850","N/D","CD002","N/D","1.00","N/D","N/D","","Policy","",""
