"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1038881","Davies, Megan","SCS2","Director","Director of Cambridge Centre","Department for Business Innovation and Skills","Medical Research Council","Cambridge Regional Centre","01793 416200","corporate@headoffice.mrc.ac.uk","1039455","499379","0.53","50000","54999","","Operational Delivery","","1"
"1039615","N/D","SCS1","Scientific Director","Scientific Director of Institute of Hearing Research","Department for Business Innovation and Skills","Medical Research Council","Institute of Hearing Research (IHR)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","1550794","1.00","N/A","N/A","","Science and Engineering","NON-MRC EMPLOYEE - EMPLOYED BY UNIVERSITY OF NOTTINGHAM","1"
"1039259","N/D","SCS2","Scientific Director","Scientific Director of MRC (UK) The Gambia","Department for Business Innovation and Skills","Medical Research Council","MRC (UK) The Gambia","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","1691455","1.00","N/A","N/A","","Science and Engineering","Name/details withheld for security reasons","1"
"1038777","Richardson, Sylvia","SCS2","Scientific Director (Non-MRC employee)","Scientific Director of MRC Biostatistics Unit","Department for Business Innovation and Skills","Medical Research Council","MRC Biostatistics Unit (BSU)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","1817420","1.00","N/A","N/A","","Science and Engineering","NON-MRC EMPLOYEE - EMPLOYED BY CAMBRIDGE UNIVERSITY","1"
"1040240","N/D","SCS1","Administrative Director","Lead for Centre for Macaques","Department for Business Innovation and Skills","Medical Research Council","MRC Centre for Macaques (CFM)","01793 416200","corporate@headoffice.mrc.ac.uk","1039519","240941","0.80","N/A","N/A","","Operational Delivery","Salaries of MRC band 2 staff (not SCS staff) are not disclosed","1"
"1038961","Fisher, Amanda","SCS2","Scientific Director","Scientific Director of MRC Clinical Sciences Centre (","Department for Business Innovation and Skills","Medical Research Council","MRC Clinical Sciences Centre (CSC)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","5469025","1.00","140000","144999","","Science and Engineering","","1"
"1038769","Collins, Rory/Peto, Richard","SCS2","Scientific Director (Non-MRC employee)","Scientific Directors of MRC Clinical Trial Service Unit","Department for Business Innovation and Skills","Medical Research Council","MRC Clinical Trial Service Unit (CTSU)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","1931109","1.00","N/A","N/A","","Science and Engineering","NON-MRC EMPLOYEE - EMPLOYED BY OXFORD UNIVERSITY","1"
"1038791","Gathercole, Susan","SCS2","Scientific Director (Non-MRC employee)","Scientific Director of MRC Cognition and Brain Sciences Unit","Department for Business Innovation and Skills","Medical Research Council","MRC Cognition and Brain Sciences Unit (CBSU)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","3168227","1.00","N/A","N/A","","Science and Engineering","NON-MRC EMPLOYEE - EMPLOYED BY CAMBRIDGE UNIVERSITY","1"
"1039390","Prentice, Ann","SCS2","Scientific Director","Scientific Director of MRC Collaborative Centre for Human Nutrition Research","Department for Business Innovation and Skills","Medical Research Council","MRC Collaborative Centre for Human Nutrition Research (HNR)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","3149104","1.00","100000","104999","","Science and Engineering","","1"
"1039449","Bulger, Alexander","SCS2","Director of Major Projects","Director of Major Projects","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","1039455","833709","1.00","130000","134999","","Programme and Project Management (PPM)","","1"
"1039455","N/D","SCS2","Chief Operating  and Financial Officer","Chief Operating Officer","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","696462","1.00","140000","144999","","Operational Delivery","Objection to disclosure","1"
"1039459","Dunlop, Hugh","SCS2","Director of Finance","Director of Finance","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","1039455","735859","1.00","100000","104999","","Finance","","1"
"1039471","Savill, John","SCS2","Chief Executive","Chief Executive","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","XX","378151","0.80","135000","139999","","Science and Engineering","","1"
"1039489","Smith, Sally-Louise","SCS2","Director of Human Resources","Director of Human Resources","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","1039455","546680","1.00","95000","99999","","Human Resources","","1"
"1039519","Peatfield, Anthony","SCS2","Director of Corporate Affairs Group","Director of Corporate Affairs Group","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","1039455","1473993","1.00","100000","104999","","Communications","","1"
"1039545","Mulkeen, Declan","SCS2","Director of Research Programmes Group","Director of Research Programmes Group","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","3396390","1.00","105000","109999","","Science and Engineering","","1"
"1039548","Smith, James","SCS2","Director of Strategy and Deputy Chief Executive","Director of Strategy","Department for Business Innovation and Skills","Medical Research Council","MRC Head Office","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","1255246","1.00","N/A","N/A","","Planning","","1"
"1039679","Pelham, Hugh","SCS2","Scientific Director","Scientific Director of MRC Laboratory of Molecular Biology","Department for Business Innovation and Skills","Medical Research Council","MRC Laboratory of Molecular Biology (LMB)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","17984829","1.00","140000","144999","","Science and Engineering","","1"
"1039854","Brown, Stephen","SCS2","Scientific Director","Scientific Director of MRC Mammalian Genetics Unit","Department for Business Innovation and Skills","Medical Research Council","MRC Mammalian Genetics Unit (MGU)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","3386806","1.00","130000","134999","","Science and Engineering","","1"
"1039964","N/D","SCS1","Scientific Lead","Scientific Lead for MRC Mary Lyon Centre","Department for Business Innovation and Skills","Medical Research Council","MRC Mary Lyon Centre","01793 416200","corporate@headoffice.mrc.ac.uk","1039455","3189794","1.00","N/A","N/A","","Science and Engineering","Salaries of MRC band 2 staff (not SCS staff) are not disclosed","1"
"1044117","Zeviani, Massimo","SCS2","Scientific Director","Scientific Director of MRC Mitochondrial Biology Unit","Department for Business Innovation and Skills","Medical Research Council","MRC Mitochondrial Biology Unit (MBU)","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","2186654","1.00","N/A","N/A","","Science and Engineering","NON-MRC EMPLOYEE - EMPLOYED BY CAMBRIDGE UNIVERSITY","1"
"1040359","Collinge, John","SCS2","Scientific Director (Non-MRC employee)","Scientific Director of MRC Prion Unit","Department for Business Innovation and Skills","Medical Research Council","MRC Prion Unit","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","2624685","1.00","N/A","N/A","","Science and Engineering","NON-MRC EMPLOYEE - EMPLOYED BY UNIVERSITY COLLEGE LONDON","1"
"1040380","Lee, Peter","SCS2","Scientific Director","Scientific Director of MRC Research Centre at Harwell","Department for Business Innovation and Skills","Medical Research Council","MRC Research Centre at Harwell","01793 416200","corporate@headoffice.mrc.ac.uk","1039455","398585","1.00","N/A","N/A","","Science and Engineering","NON-MRC EMPLOYEE","1"
"1040565","Willis, Anne","SCS2","Scientific Director","Scientific Director of MRC Toxicology Unit","Department for Business Innovation and Skills","Medical Research Council","MRC Toxicology Unit","01793 416200","corporate@headoffice.mrc.ac.uk","1039471","3690903","1.00","115000","119999","","Science and Engineering","","1"
