"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"PS","Bronwyn Hill","SCS4","Permanent Secretary","Defra Permanent Secretary, Accounting Officer, Chair of Executive Committee.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Strategy & Private Office","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","XX","0","1.00","160000","164999","","Policy","","1"
"DG1","Ian Trenholm","SCS3","Chief Operating Officer","Member of the Defra Supervisory Board and Director General, Corporate Services. Reporting Officer for Executive Agency Chief Executives","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Director General Offices","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","PS","199000","1.00","140000","144999","","Policy","","1"
"DG2","Peter Unwin","SCS3","Director General, Policy Delivery","Member of the Defra Supervisory Board and Director General for Policy Delivery","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Director General Offices","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","PS","161000","1.00","130000","134999","","Policy","","1"
"DG3","Nicholas Joicey","SCS3","Director General, Strategy, International and Biosecurity","Member of the Defra Supervisory Board and Director General for Strategy, International and Biosecurity. Head of the Policy Profession in Defra.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Director General Offices","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","PS","401000","1.00","105000","109999","","Policy","","1"
"DG4","Ian Boyd","SCS3","Chief Scientific Adviser","Member of the Defra Supervisory Board. Providing Ministerial advice; ensuring quality and fit-for-purpose science; engaging with stakeholders; stakeholder networking and integration; raising the profile of Defra science; and managing the interface with the public.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Strategic Evidence & Analysis","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","PS","0","0.78","95000","99999","","Science and Engineering","","1"
"D1","Martin Hurst","SCS2","Commercial Director","Estates and Facilities Management, health and safety, procurement, commercial oversight and specific programmes, review of laboratory agencies. Executive agencies coporate ownership. Corporate customer/sponsor for Legal, Shared Services, Kew","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Commercial","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","DG1","380000","1.00","90000","94999","","Property and asset management","","1"
"D2","Alastair Bridges","SCS2","Director, Finance and Performance","Control of Defra Finance, Head of Finance Profession","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Finance","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","DG1","0","1.00","85000","89999","","Finance","","1"
"D3","Lorraine Jainudeen","SCS2","Director of Human Resources","Group HR Director. Also working closely with HR colleagues in NDPBs. Member of Defra HR senior leadership team and Operations Group leadership team.","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Human Resources","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","DG1","0","1.00","95000","99999","","Human Resources","","1"
"D4","Julie Pierce","SCS2","Chief Information Officer, Director of Information Services","Head of Information Services, responsible for ICT and Knowledge, Transparency and Resilience across Defra. Develop and deliver a portfolio of ICT, Knowledge, Transparency and Resilience services, products and programmes across Defra, e.g. end-user IT services (desktop/laptop, business applications, audio/video conferencing, related service management and user training - to 11,000 staff across core and wider Network), library and translation services, advice on FOI, information assurance and the provision of physical and personnel security. We deliver the Government’s digital agenda, seeking to transform customer experience through the deployment of digital technologies, implementing digital solutions to business problems (e.g. digital engagement and transactions, collaboration, information analysis, and synthesis in support of scientific research and policy development).","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Chief Information Officer","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","DG1","3204000","1.00","115000","119999","","Knowledge and Information Management (KIM)","Temporarily filling a SCS2 post","1"
"D5","Eliminated","SCS2","Chief Executive Officer Network Shared Services","Eliminated","Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Eliminated","03459 33 55 77","defra.helpline@defra.gsi.gov.uk","DG1","0","1.00","0","0","","Operational Delivery","","1"
