"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"DFE-1001","Chris Wormald","SCS4","Permanent Secretary","The Permanent Secretary has three overall roles: 1. The Head of the Department.  2. The Accounting Officer.  3. The Chief Policy Non-Political Policy Advisor to the Secretary of State. He is responsible for the overall management of the Department and is accountable to Parliament for the actions the Department takes and the way in which taxpayers’ money is spent.","Department for Education","Department For Education","Permanent Secretary’s Office","0370 000 2288","N/D","xx","1697252","1.00","160000","164999","","Operational Delivery","","1"
"DFE-1003","Shona Dunn","SCS3","Director General","Leads Education Standards Directorate. Overall responsibility for policy on teachers and teaching standards/teachers’ terms and conditions/Teachers’ Pension Scheme/school standards/data and statistics/National Curriculum content and test delivery/qualifications reform/participation and closing the gap /National College for Teaching and Leadership /Standards and Testing Agency.","Department for Education","Department For Education","Education Standards Directorate","0370 000 2288","N/D","DFE-1001","624137","1.00","115000","119999","","Policy","","1"
"DFE-1084","Andrew McCully","SCS3","Director General","Infrastructure and Funding Directorate (IFD) is responsible for: school and college funding up to age 18 (25 for young people with learning difficulties) including funding provided via local authorities and delivery of the proposed pupil premium; capital policy and spend; the Department's Communications Group. The directorate leads on implementation of the Government's structural reform programme including Free Schools and expansion of the Academies programme; admissions arrangements; school organisation matters; and faith schools. The Chief Executive of the Education Funding Agency is responsible to the Director General of IFD for the performance, budget and business plans of the Agency.","Department for Education","Department For Education","Infrastructure and Funding Directorate","0370 000 2288","N/D","DFE-1001","725085","1.00","125000","129999","","Operational Delivery","","1"
"DFE-1002","Thomas Jeffery","SCS3","Director General","Developing and reforming safeguarding services that protect and support children at risk of harm. Improving the capability and affordability of childcare and early education for children from 0-5.  Tackling barriers preventing children from fulfilling their educational and wider potential, including for children with SEN and disabilities.  Reforming the care system and speeding up the process of adoption. Contributing to the Government’s priorities on children’s rights, child poverty, and ensuring effective relationships between DfE and the children’s services sector.  Leading the policy profession including promoting better evidenced base policy making.  Contributing to the strategic overview of DfE including communications strategy.","Department for Education","Department For Education","Children Services and Departmental Strategy","0370 000 2288","N/D","DFE-1001","1626344","1.00","140000","144999","","Operational Delivery","","1"
"DFE-1136","Peter Lauener","SCS3","Director General","Chief Executive of the Education Funding Agency, within the DfE, and Accounting Officer for the EFA’s £52 billion budget. Responsible for the revenue and capital funding of education for 3 to 19 year olds and covering some disabled young people to age 25.  The EFA’s principal responsibilities are: to fund academies, free schools and university technical colleges; to distribute funding to local authorities to pass to their maintained schools; to fund providers of 16-19 education and training; to deliver schools capital programmes such as the Priority School Building Programme; and to administer capital funding allocated to local authorities.","Department for Education","Education Funding Agency","Education Funding Agency","0370 000 2288","N/D","DFE-1001","1076200","1.00","140000","144999","","Operational Delivery","","1"
"DFE-1124","Susan Acland-Hood","SCS2","Director","Director within the Education Funding Group","Department for Education","Department For Education","Education Funding Group","0370 000 2288","N/D","DFE-1084","320098","1.00","80000","84999","","Policy","","1"
"DFE-1005","Hardip Begol","SCS2","Director","Head of the Assessment, Curriculum, Qualifications and Accountability Group with responsibility for advising Ministers on: the implementation of the new National Curriculum; assessment and the wider curriculum in schools; the reform of GCSE and A level qualifications; and accountability for schools and 16-19 education providers.","Department for Education","Department For Education","Assessment, Curriculum and General Qualifications","0370 000 2288","N/D","DFE-1003","428464","1.00","80000","84999","","Policy","","1"
"DFE-1058","Claudine Menashe-Jones","SCS2","Director","Responsible for: school and post-16 accountability and inspection; the collection and dissemination of education data; analysis and research into education standards and support to the Director General in leading and managing the Directorate","Department for Education","Department For Education","Systems and Accountability","0370 000 2288","N/D","DFE-1003","219478","0.89","80000","84999","","Policy","","1"
"DFE-1021","Sinead O'Sullivan","SCS2","Director","Responsible for co-ordinating the implementation of the DfE Review (published in November 2012).","Department for Education","National College","National College","0370 000 2288","N/D","DFE-1015","420134","1.00","80000","84999","","Policy","","1"
"DFE-1086","Elizabeth Jackson","SCS2","Director","Director of System Reform Group, which aims to bring more quality, diversity and choice to the school system.  The Group covers policy on academies, admissions, school place planning, school governance and the regulation of independent schools.","Department for Education","Department For Education","System Reform Group","0370 000 2288","N/D","DFE-1084","730294","1.00","85000","89999","","Policy","","1"
"DFE-1133","Susan Baldwin","SCS2","Director","Academies and Maintained School Group:  The Director is responsible for the delivery of the EFA’s remit for open Academies and Free Schools and the implementation of school funding reforms for maintained schools and academies. Responsibilities include revenue funding of academies, including free schools; the provision of an efficient enquiry service for academies; dealing with funding agreement compliance issues on behalf of the Secretary of State; responsive case management; and providing advice to the Department's policy directorates to inform the development of funding policy.","Department for Education","Education Funding Agency","Education Funding Agency","0370 000 2288","N/D","DFE-1136","3309173","1.00","90000","94999","","Operational Delivery","","1"
"DFE-1017","Marcus Bell","SCS2","Director","Leads Teachers and Teaching, which is responsible for policy on the teaching profession, including training, standards, regulation, leadership, pay, pensions and industrial relations.","Department for Education","Department For Education","Teachers and Teaching Group","0370 000 2288","N/D","DFE-1003","312471","1.00","90000","94999","","Policy","","1"
"DFE-1011","Janette Durbin","SCS2","Director","Leading HR strategy and delivery of HR services to the Department for Education, including Executive Agencies.  The HR Director is also responsible for internal communications within the Department.","Department for Education","Department For Education","People and Change Group","0370 000 2288","N/D","DFE-1001","356323","1.00","90000","94999","","Human Resources","","1"
"DFE-1006","Ann Gross","SCS2","Director","Leading the Group which supports Ministers in developing and implementing policies relating to the reform of  early  education and childcare, reform of provision for children and young people with special educational needs and disabilities, and children’s services strategy.","Department for Education","Department For Education","Childcare, Special Needs and Children’s Services Strategy","0370 000 2288","N/D","DFE-1002","274184","1.00","90000","94999","","Policy","","1"
"DFE-1087","Dominic Herrington","SCS2","Director","Overseeing and directing the Department's Academies programme - the conversion of schools to Academy status and the work on tackling underperforming schools by turning them into sponsored Academies.","Department for Education","Department For Education","Academies Delivery Group","0370 000 2288","N/D","DFE-1084","453789","1.00","90000","94999","","Policy","","1"
