"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"EQV05","Tom Winsor","SCS3","HM Chief Inspector of Constabulary","""HM Chief Inspector Of Constabulary has responsibility for all of HMIC's activities. HM Chief Inspector is Chair of the HMIC Board.""","Home Office","HM Inspectorate of Constabulary","Chief Inspector of Constabulary","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","XX","0","1.00","195000","199999","","Programme and Project Management (PPM)","Post previously coded 1HMIC06","1"
"EQV02","Zoe Billingham","SCS2","HM Inspector of Constabulary Eastern Region","""HMI Eastern has responsibility for police forces in the east of England. HMI Eastern is Senior Responsible Owner for HMIC's police authority inspection programme and is a HMIC Board member.""","Home Office","HM Inspectorate of Constabulary","Eastern Region","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","880000","1.00","185000","189999","","Operational Delivery","Post previously coded 1HMIC03","1"
"EQV01","Mike Cunningham","SCS2","HM Inspector of Constabulary Northern Region","""HMI Northern has responsibility for police forces in the north of England. HMI Northern is Senior Responsible Owner for HMIC's value for money programme and is a HMIC Board member.""","Home Office","HM Inspectorate of Constabulary","Northern Region","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","770000","1.00","185000","189999","","Operational Delivery","Post previously coded 1HMIC02","1"
"EQV04","Matt Parr","SCS2","HM Inspector of Constabulary National","""HMI National has responsibility for the Metropolitan Police Service, the Police Service of Northern Ireland, the City of London Police, the British Transport Police, SOCA, HMRC, Ministry of Defence Police, Civil Nuclear Constabulary, Jersey, Guernsey, Cyprus and the Royal Gibraltar Police.  HMI National is also the HMIC's Senior Responsible Owner for Counter Terrorism, Protection from Serious Harm, the Olympic Games (2012), and is a HMIC Board member.""","Home Office","HM Inspectorate of Constabulary","National portfolio","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","560000","1.00","140000","144999","","Operational Delivery","Post previously coded 1HMIC004","1"
"EQV06","Drusilla Sharpling","SCS2","HM Inspector of Constabulary Western Region","""HMI Western has responsibility for police forces in the west of England and in Wales. HMI Western is also Senior Responsible Owner for HMIC's criminal justice programme plus its work on rape and is a HMIC Board member.""","Home Office","HM Inspectorate of Constabulary","Wales and Western","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","40000","0.20","190000","194999","","Operational Delivery","Post previously coded 1HMIC05","1"
"EQV017","Wendy Williams","SCS2","HM Inspector of Constabulary Western Region","""HMI Western has responsibility for police forces in the west of England and in Wales. HMI Western is also Senior Responsible Owner for HMIC's criminal justice programme plus its work on rape and is a HMIC Board member.""","Home Office","HM Inspectorate of Constabulary","Wales and Western","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","770000","1.00","185000","189999","","Operational Delivery","","1"
"1HMIC01","N/D","SCS2","Chief Operating Officer","""The Chief Operating Officer is responsible for execution of the HMIC Board's strategy. This includes developing and implementing HMIC's operating model and running HMIC's inspection support services. He is also HMIC's Senior Responsible Owner for the evolution of the Police Report Card and is a HMIC Board member.""","Home Office","HM Inspectorate of Constabulary","Chief Operating Officer","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","1990000","1.00","0","0","","Programme and Project Management (PPM)","Post previously coded 1HMIC06","1"
"1HMIC03","N/D","SCS1","Strategic Analysis Provider","""The Strategic Analysis Provider is responsible for providing analytical support to HMIC operations and is a HMIC Board member.""","Home Office","HM Inspectorate of Constabulary","Strategic Analysis","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","EQV05","0","1.00","0","0","","Knowledge and Information Management (KIM)","Costs included in 1HMIC01","1"
"1HMIC10","N/D","SCS1","Portfolio Director, Criminal Justice and Joint Inspection including Vulnerable People Inspection","Lead Inspection of Protecting Vulnerable People and Joint Inspection","Home Office","HM Inspectorate of Constabulary","Wales and Western","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","1HMIC01","0","1.00","0","0","","Operational Delivery","Team too small, costs included in 1HMIC01 This post is now merged with post 1HMIC13 The Programme Director is responsible for the programme of inspection through to report for the PEEL Legitamacy pillar","1"
"1HMIC11","N/D","SCS1","Portfolio Director, PEEL Efficiency & Legitamacy pillar","The Programme Director is responsible for the programme of inspection through to report for the PEEL Legitamacy pillar","Home Office","HM Inspectorate of Constabulary","Portfolio Directors","0203 513 0500","Haveyoursay@hmic.gsi.gov.uk","1HMIC01","0","1.00","0","0","","Operational Delivery","Team too small, costs included in 1HMIC01 This post is now merged with post 1HMIC13 The Programme Director is responsible for the programme of inspection through to report for the PEEL Legitamacy pillar","1"
