"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"19678","Nick Macpherson","SCS4","Permanent Secretary","Responsible for decision making, coordination and management of the Department and communications with media and the public.","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","xx","0","1.00","175000","179999","","Policy","","1"
"23165","Tom Scholar","SCS4","Second Permanent Secretary","Responsible for the finance ministry side of the Treasury","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","150000","154999","","Policy","","1"
"23164","John Kingman","SCS4","Second Permanent Secretary","Responsible for Growth","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","155000","159999","","Policy","","1"
"23453","Charles Roxburgh","SCS3","Director General Financial Services","Responsible for Financial Services","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23164","0","1.00","130000","134999","","Policy","","1"
"19787","Dave Ramsden","SCS3","Director General and Chief Economic Adviser to the Treasury","Responsible for  economic and fiscal policy advice, analysis and surveillance. As head of Government Economic service leadership of the economic profession across government, working closely with other heads of profession, in particular for social research.","Her Majesty's Treasury","HM Treasury","Economics and Fiscal","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","115000","119999","","Economics","","1"
"19614","Sharon White","SCS3","Director General, Public Spending","Responsible for the Treasury's work on Public services with overall responsibility for managing public spending, strengthening financial discipline across central government, helping to ensure the delivery of more cost effective public services, and contributing to creating the conditions for sustainable growth whilst supporting development in infrastructure and a low carbon economy.","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23165","0","1.00","130000","134999","","Policy","","1"
"19575","Michael Ellam","SCS3","Director General, International Affairs","Responsible for International and EU","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23165","0","1.00","105000","109999","","Policy","","1"
"19533","Indra Morris","SCS3","Director General, Tax and Welfare","Responsible for Tax and Welfare","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23165","0","1.00","120000","124999","","Policy","","1"
"23694","Geoffrey Spence","SCS2","Chief Executive, Infrastructure UK","Responsible for growth-related policy and expenditure, includes infrasture stratgy and delivery, and public private partnerships.","Her Majesty's Treasury","HM Treasury","Infrastructure UK (IUK)","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23164","2714379","1.00","170000","174999","","Policy","","1"
"23290","Bill Dickinson","SCS2","Director LIBOR Tendering","Responsible for LIBOR Tendering Committee","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23165","0","0.50","70000","74999","","Policy","Part Time","1"
"23143","James Bowler","SCS2","Director Strategy Planning and Budget","Responsible for defining forward strategy, work programme, the budget, and short-term priority policy projects","Her Majesty's Treasury","HM Treasury","Strategy, Planning and  Budget","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19533","0","1.00","90000","94999","","Policy","","1"
"22950","Lindsey Fussell","SCS2","Director, Public Services","Responsible for Oversight of Major Public Service Expenditure","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19614","0","0.89","75000","79999","","Policy","Part time","1"
"20724","Alison Cottrell","SCS2","Director of Corporate Services","Responsible for HR and Corporate Change Management,developing corporate policies and processes","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","0.50","45000","49999","","Policy","Split Post","1"
"19812","Beth Russell","SCS2","Director, Personal Tax, Welfare and Pensions Group","Responsible for Personal Tax, Welfare, Labour Market and HMRC/DWP Expenditure, Pensions and Savings.","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19533","0","1.00","80000","84999","","Policy","","1"
"19809","Tamara Finkelstein","SCS2","Director, Public Services","Responsible for Oversight of Major Public Service Expenditure","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19614","0","0.90","75000","79999","","Policy","Part time","1"
"19806","James Richardson","SCS2","Director, Fiscal Policy","Responsible for Fiscal strategy, funding, and dept management, and montoring fiscal position.","Her Majesty's Treasury","HM Treasury","Fiscal","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19787","0","1.00","85000","89999","","Policy","","1"
