"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"300","Bill Galvin","SCS3","Chief Executive","Executive responsibility for securing that the legislative objectives and functions of the regulator are exercised efficiently and effectively","Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","0845 600 0707","customersupport@thepensionsregulator.gov.uk","XX","1477260","1.00","135000","139999","","Operational Delivery","","1"
"200","Vacant","SCS2","DC Governance and Administration Executive Director","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","DC Governance and Administration","N/A","N/A","300","N/D","1.00","0","0","","Operational Delivery","The post became vacant on 15/3/12. Salary cost of reports reported under 300","1"
"201","Stephen Soper","SCS2","DB Regulation Executive Director","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","300","5066393","1.00","210000","214999","","Operational Delivery","","1"
"202","Stuart Weatherley","SCS2","Support Operations Executive Director","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Support Operations","0845 600 0707","customersupport@thepensionsregulator.gov.uk","300","1754692","1.00","110000","114999","","Operational Delivery","","1"
"203","Charles Counsell","SCS2","Employer Compliance Executive Director","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0845 600 0707","customersupport@thepensionsregulator.gov.uk","300","469569","1.00","140000","144999","","Operational Delivery","","1"
"204","Sue Griffin","SCS2","Head of Customer Communications","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Customer Communications","0845 600 0707","customersupport@thepensionsregulator.gov.uk","300","1606653","1.00","120000","124999","","Communications","","1"
"205","Nigel Peaple","SCS2","Head of Corporate and International Affairs","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","0845 600 0707","customersupport@thepensionsregulator.gov.uk","300","916317","1.00","110000","114999","","Communications","","1"
"206","Peter Ullmann","SCS2","Head of Risk","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Risk","0845 600 0707","customersupport@thepensionsregulator.gov.uk","300","N/D","1.00","120000","124999","","Operational Delivery","Salary cost of reports reported under 300","1"
"207","N/D","SCS1","Head of Corporate Secretariat","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","0845 600 0707","customersupport@thepensionsregulator.gov.uk","300","236633","0.90","N/A","N/A","","Policy","","1"
"208","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","0845 600 0707","customersupport@thepensionsregulator.gov.uk","205","N/D","1.00","N/A","N/A","","Law","salary cost of reports reported under 208","1"
"209","N/D","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","0845 600 0707","customersupport@thepensionsregulator.gov.uk","205","N/D","0.80","N/A","N/A","","Communications","salary cost of reports reported under 208","1"
"210","N/D","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Corporate and International Affairs","0845 600 0707","customersupport@thepensionsregulator.gov.uk","205","N/D","0.71","N/A","N/A","","Communications","salary cost of reports reported under 208","1"
"211","Eliminated","SCS1","Business Analyst","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","N/A","N/A","201","0","1.00","N/A","N/A","","Operational Delivery","","1"
"212","Eliminated","SCS1","Business Analyst","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","N/A","N/A","201","0","1.00","N/A","N/A","","Operational Delivery","","1"
"213","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","1.00","N/A","N/A","","Law","","1"
"214","N/D","SCS1","Actuary","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","0.80","N/A","N/A","","Operational Delivery","","1"
"215","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","1.00","N/A","N/A","","Law","","1"
"216","N/D","SCS1","Business Analyst","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","N/D","1.00","N/A","N/A","","Operational Delivery","salary cost of reports reported under 201","1"
"217","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","1.00","N/A","N/A","","Law","","1"
"218","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","0.60","N/A","N/A","","Law","","1"
"219","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","0.80","N/A","N/A","","Law","","1"
"220","Eliminated","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","N/A","N/A","201","0","0.60","N/A","N/A","","Law","","1"
"221","N/D","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","N/D","1.00","N/A","N/A","","Policy","salary cost of reports reported under 201","1"
"222","N/D","SCS1","Business Analyst","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","0.40","N/A","N/A","","Operational Delivery","","1"
"223","N/D","SCS1","Actuary","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","1.00","N/A","N/A","","Operational Delivery","","1"
"224","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","1.00","N/A","N/A","","Law","","1"
"225","Vacant","SCS1","Actuary","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","N/A","N/A","201","0","1.00","N/A","N/A","","Operational Delivery","","1"
"226","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","1.00","N/A","N/A","","Law","","1"
"227","N/D","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","0845 600 0707","customersupport@thepensionsregulator.gov.uk","201","0","1.00","N/A","N/A","","Law","","1"
"228","Eliminated","SCS1","Lawyer","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","DB Regulation","N/A","N/A","201","0","0.70","N/A","N/A","","Law","","1"
