"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"001","Dr Leigh Griffin","SCS2","Managing Director","Operating as Managing Director of both Greater Manchester and Cheshire & Merseyside CSUs.","Department of Health","Greater Manchester Commissioning Support Unit","Corporate","0161 212 4902","hr.businessservices@nhs.net","XX","375535","1.00","135000","139999","","Medicine","","1"
"011","Seamus McGirr","SCS2","Director of Clinical Quality","Operating as a director of the organisation and managing the Operations, Clinical Data Quality, Utilisation Management, Contract Management, Performance, Clinical Decision Making and Integrated Governance functions.","Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","0161 212 4902","hr.businessservices@nhs.net","001","419641","1.00","105000","109999","","Medicine","","1"
"012","Josephine Purcell","SCS2","Director of Commercial Partnerships and New Business","Operating as a director of the organisation and managing the Performance, Business Intelligence, Communications, Marketing and Engagements functions.","Department of Health","Greater Manchester Commissioning Support Unit","Commissioning Delivery & Intelligence","0161 212 4902","hr.businessservices@nhs.net","001","190485","1.00","80000","84999","","Medicine","","1"
"013","Catherine Gritzner","SCS2","Director of Business Development & IT","Operating as a director of the organisation and managing the Consultancy and IT Delivery, Development and Technical Support functions","Department of Health","Greater Manchester Commissioning Support Unit","Business Development","0161 212 4902","hr.businessservices@nhs.net","001","138122","1.00","95000","99999","","Medicine","","1"
"014","Vacant","SCS2","Director of Finance","Operating as a director of the organisation and managing the Financial, People Services and Market Management functions","Department of Health","Greater Manchester Commissioning Support Unit","Finance","N/A","hr.businessservices@nhs.net","001","184268","1.00","0","0","","Finance","Position vacant since 1 November 2013","1"
"015","Andrew White","SCS2","Director of Change Programme Management","Operating as a director of the organisation and managing the ongoing organisational transition.","Department of Health","Greater Manchester Commissioning Support Unit","Transition","0161 212 4902","hr.businessservices@nhs.net","001","0","1.00","85000","89999","","Medicine","","1"
"111","Chrisella Morgan","SCS2","Deputy Director of Operations","Corporate services, admin","Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","0161 212 4902","hr.businessservices@nhs.net","011","167045","1.00","55000","59999","","Medicine","","1"
"112","Malcolm Philp","SCS2","Head of Clinical & Data Quality","Support clients to commission services that are safe, effective and promote continuous improvement.  Clinical and managerial leadership expertise across health and social care, including quality, commissioning, research, innovation, and performance and incident management.","Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","0161 212 4902","hr.businessservices@nhs.net","011","1070556","1.00","80000","84999","","Medicine","","1"
"113","Gillian Cooper","SCS2","Head of Utilisation Management & Non-Elective Care","Supply commissioners, providers and users of Health and Social Care with insight into the existing health and social care systems and processes and highlight opportunities for improvement against local and national targets in line with organisations' strategic priorities.","Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","0161 212 4902","hr.businessservices@nhs.net","011","399599","1.00","80000","84999","","Medicine","","1"
"114","Susana Pitt","SCS2","Head of Contract Management & Performance","A team of legal, financial and healthcare experts helping clients to develop and manage robust, fit-for-purpose contracts in accordance with national policy requirements and timescales.  A range of support to help clients improve quality and patient focus by actively managing relationships between clients and providers, monitoring provider performance and addressing issues early.","Department of Health","Greater Manchester Commissioning Support Unit","Clinical Quality","0161 212 4902","hr.businessservices@nhs.net","011","2037011","1.00","80000","84999","","Medicine","","1"
